Category,Name,Price,Colors,Image,Product Link
Men,Fairfax Baggy Jeans,$ 44.99,"Pale denim blue, Denim gray, Dark denim gray, Black, Denim blue, Pale denim blue, Dark denim gray, Dark denim blue, Dark gray",https://image.hm.com/assets/hm/22/03/2203bb3c23a39f3dd6978e64c84fe4cb5fbc796c.jpg,https://www2.hm.com/en_us/productpage.1235448001.html
Men,Loose Fit T-shirt,$ 9.99,"White, Black, Dark beige, Light beige, Pink, Yellow, Light beige, Light sage green, Dark gray, Navy blue, Dark gray",https://image.hm.com/assets/hm/b7/63/b76302e530533270db3a7fc85209a205ed4bd53d.jpg,https://www2.hm.com/en_us/productpage.0608945001.html
Men,Regular-Fit Linen-Blend Pants,$ 39.99,"Cream, Black, Dark beige, White, Navy blue",https://image.hm.com/assets/hm/5a/f6/5af699e588d72cba035f541790bd1c0278ee0c3e.jpg,https://www2.hm.com/en_us/productpage.1253401001.html
Men,Slim-Fit Rib-Knit Polo Shirt,$ 34.99,"Dark beige, Navy blue, Cream",https://image.hm.com/assets/hm/fb/cf/fbcf50a3a277d6426627e6c343c9df6d748edac1.jpg,https://www2.hm.com/en_us/productpage.1285783003.html
Men,Loose Fit Printed T-shirt,$ 9.99,"Light blue/Wasted Potential, Light beige/Better Than Ever, White/Synthesis, White/New Haven, White/Cologne, Black/Carbonara, White/Hardware",https://image.hm.com/assets/hm/d5/b1/d5b15e116234490c8bd7f4466d10287676201f8a.jpg,https://www2.hm.com/en_us/productpage.0967955108.html
Men,Regular Fit Sweatshorts,$ 12.99,"Light beige, Black, Gray melange",https://image.hm.com/assets/hm/2b/9e/2b9eb532ce58a6324e12f56cb13d39c47f19dd3d.jpg,https://www2.hm.com/en_us/productpage.1224295003.html
Men,Regular-Fit Textured Resort Shirt,$ 29.99,"Navy blue/striped, Beige/striped, Light blue/striped, Brown/cream striped",https://image.hm.com/assets/hm/ce/2f/ce2f01b8ab5cc193fb7db0e67f06cbd78bb31c0b.jpg,https://www2.hm.com/en_us/productpage.1261407001.html
Men,Regular-Fit Linen-Blend Pants,$ 39.99,"Dark beige, Cream, Black, White, Navy blue",https://image.hm.com/assets/hm/3d/f1/3df15c594690139d1589f14ae9feb41652fd8951.jpg,https://www2.hm.com/en_us/productpage.1253401004.html
Men,Fairfax Baggy Jeans,$ 44.99,"Denim gray, Pale denim blue, Dark denim gray, Black, Denim blue, Pale denim blue, Dark denim gray, Dark denim blue, Dark gray",https://image.hm.com/assets/hm/25/46/2546106f34bbe19d9a94e7d30fc38faec1bee98e.jpg,https://www2.hm.com/en_us/productpage.1235448003.html
Men,Loose Fit Printed T-shirt,$ 9.99,"Light beige/Better Than Ever, Light blue/Wasted Potential, White/Synthesis, White/New Haven, White/Cologne, Black/Carbonara, White/Hardware",https://image.hm.com/assets/hm/d3/5c/d35c622819e98c67f3442c9e4dc46771a189a9ea.jpg,https://www2.hm.com/en_us/productpage.0967955102.html
Men,Regular-Fit Linen Pants,$ 54.99,"Light beige, Black, White, Dark beige, Navy blue",https://image.hm.com/assets/hm/ca/82/ca822eb7662c30817c383b13aff2014a2ab704ef.jpg,https://www2.hm.com/en_us/productpage.1253406001.html
Men,Regular Fit Sweatpants,$ 19.99,"Dark blue, Black, Dark taupe, Light gray melange, Cream, Light gray melange, Black, Beige",https://image.hm.com/assets/hm/b1/f8/b1f8da05ef4ca00cacd35e8332e0497515e5c64d.jpg,https://www2.hm.com/en_us/productpage.0970817039.html
Men,Regular-Fit Fine-Knit Polo Shirt,$ 34.99,"Navy blue, Light beige",https://image.hm.com/assets/hm/d7/ba/d7ba2c48793b00f502250cd5759bcd2491925d4a.jpg,https://www2.hm.com/en_us/productpage.1262923001.html
Men,Fairfax Baggy Jeans,$ 44.99,"Dark denim gray, Pale denim blue, Denim gray, Black, Denim blue, Pale denim blue, Dark denim gray, Dark denim blue, Dark gray",https://image.hm.com/assets/hm/2d/23/2d23ae3965859942acef7b365d033f15c8cb20c6.jpg,https://www2.hm.com/en_us/productpage.1235448011.html
Men,Slim Fit Easy-iron Shirt,$ 19.99,"White, Black, Light blue, Navy blue, Light blue/striped, Light blue, Light beige, Dark beige",https://image.hm.com/assets/hm/1a/e7/1ae781d7afbcb047a990cbe64771b96c07cb9823.jpg,https://www2.hm.com/en_us/productpage.1242812001.html
